country,city,latitude,longitude
Argentina, Buenos Aires,-34.6037, -58.3816
Bolivia, Sucre,-19.0196, -65.2619
Brazil, Brasilia,-15.8267, -47.9218
Chile, Santiago,-33.4378, -70.6504
Colombia, Bogota, 4.7110, -74.0721
Costa Rica, San Jose,9.9281, -84.0907
Cuba, Havana, 23.1136, -82.3666
Dominican Republic, Santo Domingo,18.4861, -69.9312
Ecuador, Quito,-0.1807, -78.4678
El Salvador, San Salvador,13.6929, -89.2182
Guatemala, Guatemala City,14.6349, -90.5069
Haiti, Port-au-Prince,18.5944, -72.3074
Honduras, Tegucigalpa, 14.0723, -87.1921
Mexico, Mexico City,19.4326, -99.1332
Nicaragua, Managua, 12.1140, -86.2362
Panama, Panama City,8.9824, -79.5199
Paraguay, Asuncion,-25.2637, -57.5759
Peru, Lima,-12.0464, -77.0428
Uruguay, Montevideo,-34.9011, -56.1645
Venezuela, Caracas, 10.4806, -66.9036
